종목코드,종목명
000250,삼천당제약
003100,선광
003380,하림지주
003670,포스코케미칼
005160,동국산업
005290,동진쎄미켐
005990,매일홀딩스
006730,서부T&D
006910,보성파워텍
007390,네이처셀
007820,에스엠코어
009520,포스코엠텍
010170,대한광통신
011040,경동제약
011370,서한
013030,하이록코리아
013990,아가방컴퍼니
014200,광림
014470,부방
014620,성광벤드
015750,성우하이텍
016100,리더스코스메틱
016170,카카오M
016250,이테크건설
016790,카나리아바이오
018000,유니슨
018290,브이티
018310,삼목에스폼
019210,와이지-원
021320,KCC건설
022100,포스코DX
023160,태광
023410,유진기업
023890,아트라스BX
024660,하림홀딩스
024950,삼천리자전거
025320,시노펙스
025770,한국정보통신
025900,동화기업
025980,아난티
026960,동서
027050,코리아나
027360,아주IB투자
028150,GS홈쇼핑
028300,HLB
029960,코엔텍
030190,NICE평가정보
030520,한글과컴퓨터
030530,원익홀딩스
031390,녹십자셀
031980,피에스케이홀딩스
032190,다우데이타
032500,케이엠더블유
033100,제룡전기
033290,코웰패션
033310,엠투엔
033500,동성화인텍
033560,블루콤
033640,네패스
034230,파라다이스
034950,한국기업평가
035080,그래디언트
035600,KG이니시스
035720,카카오
035760,"CJ ENM"
035810,이지홀딩스
035890,서희건설
035900,"JYP Ent."
036030,KTH
036190,금화피에스시
036420,제이콘텐트리
036490,SK머티리얼즈
036540,SFA반도체
036560,영풍정밀
036630,세종텔레콤
036710,심텍홀딩스
036800,나이스정보통신
036810,에프에스티
036830,솔브레인홀딩스
036930,주성엔지니어링
038060,루멘스
038290,마크로젠
038390,레드캡투어
038500,삼표시멘트
038540,상상인
039030,이오테크닉스
039200,오스코텍
039840,디오
041140,넥슨지티
041190,우리기술투자
041510,에스엠
041520,이라이콤
041830,인바디
041960,코미팜
042000,카페24
042040,케이피엠테크
042600,새로닉스
043150,바텍
043370,평화정공
043610,KT뮤직
044340,위닉스
044490,태웅
045100,한양이엔지
045390,대아티아이
046140,SBS콘텐츠허브
046440,KG모빌리언스
046890,서울반도체
047310,파워로직스
048260,오스템임플란트
048410,현대바이오
048530,인트론바이오
049070,인탑스
049180,셀루메드
049950,미래컴퍼니
049960,쎌바이오텍
051360,토비스
051370,인터플렉스
051500,CJ프레시웨이
052020,에스티큐브
052260,현대바이오랜드
052400,코나아이
052710,아모텍
052790,액토즈소프트
053030,바이넥스
053610,프로텍
053800,안랩
054050,농우바이오
054620,APS홀딩스
054670,대한뉴팜
054780,키이스트
054950,제이브이엠
056190,에스에프에이
058470,리노공업
058610,에스피지
058820,CMG제약
058970,엠로
060150,인선이엔티
060250,"NHN KCP"
060280,큐렉소
060570,드림어스컴퍼니
060590,씨티씨바이오
060720,KH바텍
061970,LB세미콘
063080,게임빌
063170,서울옥션
063570,한국전자금융
064240,홈캐스트
064260,다날
064550,바이오니아
064760,티씨케이
065060,지엔코
065160,에프티이앤이
065620,제낙스
065660,안트로젠
066270,SK컴즈
066970,엘앤에프
067000,조이시티
067080,대화제약
