ITEM_CODE,ITEM_NAME,MARKET_DIV
000010,조흥은행,KOSPI
000020,동화약품,KOSPI
000030,우리은행,KOSPI
000040,KR모터스,KOSPI
000050,경방,KOSPI
000060,메리츠화재,KOSPI
000070,삼양홀딩스,KOSPI
000075,삼양홀딩스우,KOSPI
000080,하이트진로,KOSPI
000085,"진로(1우 )",KOSPI
000087,하이트진로2우B,KOSPI
000100,유한양행,KOSPI
000105,유한양행우,KOSPI
000107,유한양행(2우B),KOSPI
000110,제일은행,KOSPI
000120,CJ대한통운,KOSPI
000140,하이트진로홀딩스,KOSPI
000145,하이트진로홀딩스우,KOSPI
000147,하이트맥주(2우B),KOSPI
000149,하이트맥주(3우B),KOSPI
000150,두산,KOSPI
000155,두산우,KOSPI
000157,두산2우B,KOSPI
000180,성창기업지주,KOSPI
000200,대우중공업,KOSPI
000205,대우중공업(1우),KOSPI
000210,DL,KOSPI
000215,DL우,KOSPI
000220,유유제약,KOSPI
000225,유유제약1우,KOSPI
000227,유유제약2우B,KOSPI
000230,일동홀딩스,KOSPI
000240,한국앤컴퍼니,KOSPI
000250,삼천당제약,KOSDAQ
000270,기아,KOSPI
000280,동아건설,KOSPI
000300,대유플러스,KOSPI
000310,해태제과,KOSPI
000315,"해태제과(1우 )",KOSPI
000317,해태제과(2우B),KOSPI
000320,노루홀딩스,KOSPI
000325,노루홀딩스우,KOSPI
000327,노루홀딩스2우B,KOSPI
000360,삼환기업,KOSPI
000365,삼환기업우,KOSPI
000370,한화손해보험,KOSPI
000380,대아건설,KOSDAQ
000390,삼화페인트,KOSPI
000400,롯데손해보험,KOSPI
000420,로케트전기,KOSPI
000425,로케트전우,KOSPI
000430,대원강업,KOSPI
000440,중앙에너비스,KOSDAQ
000470,그린손해보험,KOSPI
000475,"국제화재(1우 )",KOSPI
000480,CR홀딩스,KOSPI
000490,대동,KOSPI
000500,가온전선,KOSPI
000520,삼일제약,KOSPI
000540,흥국화재,KOSPI
000545,흥국화재우,KOSPI
000547,흥국화재2우B,KOSPI
000590,CS홀딩스,KOSPI
000610,제일화재,KOSPI
000640,동아쏘시오홀딩스,KOSPI
000650,천일고속,KOSPI
000660,SK하이닉스,KOSPI
000670,영풍,KOSPI
000680,LS네트웍스,KOSPI
000685,LS네트웍스우,KOSPI
000687,LS네트웍스전환상환2우B,KOSPI
000700,유수홀딩스,KOSPI
000720,현대건설,KOSPI
000725,현대건설우,KOSPI
000760,이화산업,KOSPI
000790,C&상선,KOSPI
000800,경남기업,KOSPI
000805,경남기업(1우B),KOSPI
000810,삼성화재,KOSPI
000815,삼성화재우,KOSPI
000830,삼성물산,KOSPI
000835,삼성물산우,KOSPI
000850,화천기공,KOSPI
000860,강남제비스코,KOSPI
000880,한화,KOSPI
000885,한화우,KOSPI
000887,한화(2우B),KOSPI
00088K,한화3우B,KOSPI
000890,보해양조,KOSPI
000895,보해양조우,KOSPI
000910,유니온,KOSPI
000950,전방,KOSPI
000970,한국주철관,KOSPI
000980,극동건설,KOSPI
000985,"극동건설(1우 )",KOSPI
000990,DB하이텍,KOSPI
000995,DB하이텍1우,KOSPI
000997,동부하이텍2우B,KOSPI
001000,신라섬유,KOSDAQ
001020,페이퍼코리아,KOSPI
001030,리젠트화재,KOSPI
001035,리젠트화재(1우B),KOSPI
001040,CJ,KOSPI
001045,CJ우,KOSPI
001047,CJ2우B,KOSPI
001049,CJ3우B,KOSPI
00104K,CJ4우(전환),KOSPI
001060,JW중외제약,KOSPI
001065,JW중외제약우,KOSPI
001067,JW중외제약2우B,KOSPI
001070,대한방직,KOSPI
001080,만호제강,KOSPI
001110,대농,KOSPI
001120,LX인터내셔널,KOSPI
001130,대한제분,KOSPI
001140,카리스국보,KOSPI
001150,서통,KOSPI
001155,"서통(1우 )",KOSPI
001190,마이크로닉스,KOSPI
001200,유진투자증권,KOSPI
001210,금호전기,KOSPI
001230,동국홀딩스,KOSPI
001250,GS글로벌,KOSPI
001260,남광토건,KOSPI
001265,남광토건(1우B),KOSPI
001270,부국증권,KOSPI
001275,부국증권우,KOSPI
001280,우리증권,KOSPI
001290,상상인증권,KOSPI
001300,제일모직,KOSPI
001310,풍림산업,KOSPI
001340,백광산업,KOSPI
001360,삼성제약,KOSPI
001370,FNC코오롱,KOSPI
001375,FnC코오롱우,KOSPI
001380,SG충방,KOSPI
001385,SG충남방적우,KOSPI
001390,KG케미칼,KOSPI
001400,동산씨앤지,KOSPI
001420,태원물산,KOSPI
001430,세아베스틸지주,KOSPI
001440,대한전선,KOSPI
001450,현대해상,KOSPI
001460,BYC,KOSPI
001465,BYC우,KOSPI
001470,삼부토건,KOSPI
001490,천지산업,KOSPI
001500,현대차증권,KOSPI
001510,SK증권,KOSPI
001515,SK증권우,KOSPI
001520,동양,KOSPI
001525,동양우,KOSPI
001527,동양2우B,KOSPI
001529,동양3우B,KOSPI
001530,DI동일,KOSPI
001540,안국약품,KOSDAQ
001550,조비,KOSPI
001560,제일연마,KOSPI
001570,금양,KOSPI
001580,신광기업,KOSPI
001590,일화모직,KOSPI
001600,서광건설,KOSPI
001620,케이비아이동국실업,KOSPI
001630,종근당홀딩스,KOSPI
001670,경남모직,KOSPI
001675,"경남모직(1우 )",KOSPI
001680,대상,KOSPI
001685,대상우,KOSPI
001687,대상2우B,KOSPI
001689,대상3우B,KOSPI
001690,두산테크팩,KOSPI
001695,"두산테크팩(1우 )",KOSPI
001697,두산테크팩(2우B),KOSPI
001720,신영증권,KOSPI
001725,신영증권우,KOSPI
001740,SK네트웍스,KOSPI
001745,SK네트웍스우,KOSPI
001750,한양증권,KOSPI
001755,한양증권우,KOSPI
