종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
095570,AJ네트웍스,KOSPI,서비스업,4635,-80,-1.7,209746537965
006840,AK홀딩스,KOSPI,기타금융,14570,-80,-0.55,193016963770
027410,BGF,KOSPI,기타금융,3550,-60,-1.66,339794608050
282330,BGF리테일,KOSPI,유통업,113000,-2000,-1.74,1953081378000
138930,BNK금융지주,KOSPI,기타금융,8040,10,0.12,2589591041520
001460,BYC,KOSPI,섬유의복,35350,100,0.28,220801402500
001465,BYC우,KOSPI,섬유의복,15300,-10,-0.07,32953905000
001040,CJ,KOSPI,기타금융,128300,-800,-0.62,3743408843400
079160,CJ CGV,KOSPI,서비스업,5620,-30,-0.53,688069835100
00104K,CJ4우(전환),KOSPI,기타금융,89600,-400,-0.44,378695475200
000120,CJ대한통운,KOSPI,운수창고업,99400,100,0.1,2267546993600
011150,CJ씨푸드,KOSPI,음식료품,6040,-280,-4.43,217021868920
011155,CJ씨푸드1우,KOSPI,음식료품,23100,-1800,-7.23,4620000000
001045,CJ우,KOSPI,기타금융,61400,-600,-0.97,138777692200
097950,CJ제일제당,KOSPI,음식료품,389500,7500,1.96,5863605447000
097955,CJ제일제당 우,KOSPI,음식료품,160500,600,0.38,213052996500
000480,CR홀딩스,KOSPI,비금속광물,6060,0,0.0,284156369400
000590,CS홀딩스,KOSPI,기타금융,69900,0,0.0,80698291800
012030,DB,KOSPI,서비스업,1334,14,1.06,268366026622
016610,DB금융투자,KOSPI,증권,4110,10,0.24,174454658790
005830,DB손해보험,KOSPI,보험,103100,-700,-0.67,7299480000000
000990,DB하이텍,KOSPI,전기전자,43650,3450,8.58,1937998366200
139130,DGB금융지주,KOSPI,기타금융,7840,-20,-0.25,1326103330720
001530,DI동일,KOSPI,유통업,24950,50,0.2,629131016400
000210,DL,KOSPI,화학,56500,1100,1.99,1184007446000
000215,DL우,KOSPI,화학,27250,450,1.68,45946633750
375500,DL이앤씨,KOSPI,건설업,34900,300,0.87,1350407442700
37550L,DL이앤씨2우(전환),KOSPI,건설업,23800,0,0.0,50264433800
37550K,DL이앤씨우,KOSPI,건설업,18800,-1010,-5.1,39741038000
007340,DN오토모티브,KOSPI,전기전자,81000,-2100,-2.53,809514405000
004840,DRB동일,KOSPI,화학,5430,0,0.0,108219900000
155660,DSR,KOSPI,철강금속,4345,20,0.46,69520000000
069730,DSR제강,KOSPI,철강금속,4420,-65,-1.45,63648000000
017860,DS단석,KOSPI,화학,96500,-1500,-1.53,565625486000
017940,E1,KOSPI,유통업,72700,2500,3.56,498722000000
365550,ESR켄달스퀘어리츠,KOSPI,서비스업,4500,-105,-2.28,958900500000
383220,F&F,KOSPI,섬유의복,65900,-100,-0.15,2524436242500
007700,F&F홀딩스,KOSPI,기타금융,15170,-160,-1.04,593364947390
114090,GKL,KOSPI,서비스업,13440,-210,-1.54,831340204800
078930,GS,KOSPI,기타금융,43650,200,0.46,4055756249700
006360,GS건설,KOSPI,건설업,14600,40,0.27,1249489754000
001250,GS글로벌,KOSPI,유통업,2430,5,0.21,200557046520
007070,GS리테일,KOSPI,유통업,21900,-250,-1.13,2293322491800
078935,GS우,KOSPI,기타금융,37050,-50,-0.13,66127803300
012630,HDC,KOSPI,기타금융,8240,270,3.39,492271781040
039570,HDC랩스,KOSPI,건설업,8870,-100,-1.11,230243920870
089470,HDC현대EP,KOSPI,화학,4265,65,1.55,136053500000
294870,HDC현대산업개발,KOSPI,건설업,17080,-30,-0.18,1125697196400
009540,HD한국조선해양,KOSPI,기타금융,137700,-1200,-0.86,9745458073200
267250,HD현대,KOSPI,기타금융,69100,400,0.58,5458422173500
267270,HD현대건설기계,KOSPI,기계,56200,-100,-0.18,1059206795200
443060,HD현대마린솔루션,KOSPI,서비스업,149400,-8600,-5.44,6640830000000
010620,HD현대미포,KOSPI,운수장비,76000,-100,-0.13,3035603324000
322000,HD현대에너지솔루션,KOSPI,전기전자,27400,-650,-2.32,306880000000
042670,HD현대인프라코어,KOSPI,기계,7930,-20,-0.25,1582855382290
267260,HD현대일렉트릭,KOSPI,전기전자,286500,-3500,-1.21,10327504177500
329180,HD현대중공업,KOSPI,운수장비,134500,1900,1.43,11939984102000
097230,HJ중공업,KOSPI,건설업,3185,-15,-0.47,265228584985
014790,HL D&I,KOSPI,건설업,2260,-90,-3.83,85560438260
003580,HLB글로벌,KOSPI,유통업,4600,15,0.33,218090103200
204320,HL만도,KOSPI,운수장비,45350,2300,5.34,2129505392000
060980,HL홀딩스,KOSPI,기타금융,34750,0,0.0,353386997500
